,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Capital gains taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Operating Expenses,Rent of land,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011370520891750185
16,Financing cash outflow,Desalination,0.0003765972460594557
17,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
18,Financing cash outflow,Compression,0.008514246043742539
19,Operating Expenses,Water,0.01261213720316623
20,Operating Expenses,Cash on hand reserve,0.014970288850408558
21,Operating Expenses,Property insurance,0.024273882271601974
22,Operating Expenses,Var O&M,0.0752748738237094
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
24,Financing cash outflow,Wind Plant,0.19654767936297954
25,Financing cash outflow,Repayment of debt,0.2291929972651638
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.233076503034447
27,Financing cash outflow,Income taxes payable,0.2396588959181076
28,Financing cash outflow,Interest expense,0.5096729457178231
29,Financing cash outflow,Electrolysis system,0.5165392400508768
30,Financing cash outflow,Dividends paid,1.1859449973326441
31,Operating Expenses,Grid Electricity Cost,2.567895621834224
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370520891750185
37,Operating Revenue,Cash on hand recovery,0.014970288850408558
38,Financing cash inflow,Monetized tax losses,0.03327504943097473
39,Financing cash inflow,Inflow of debt,0.22919299726516376
40,Financing cash inflow,Inflow of equity,0.5905267984152203
41,Operating Revenue,Hydrogen sales,5.032081059497184
