,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010459569322975737
14,Financing cash outflow,Desalination,0.0008371963646574508
15,Operating Expenses,Desalination Fixed O&M Cost,0.003696298049468036
16,Operating Expenses,Water,0.007678100263852244
17,Financing cash outflow,Income taxes payable,0.016160829907197586
18,Financing cash outflow,Compression,0.018927636646856892
19,Operating Expenses,Cash on hand reserve,0.024464079730961565
20,Operating Expenses,Solar Plant Fixed O&M Cost,0.025730540534520317
21,Financing cash outflow,Solar Plant,0.05482487856330963
22,Operating Expenses,Property insurance,0.06430486106148971
23,Operating Expenses,Var O&M,0.07363966614547454
24,Financing cash outflow,Hydrogen Storage,0.09878190932081246
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18636442236905248
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.552808287621746
27,Financing cash outflow,Repayment of debt,0.60762689491476
28,Financing cash outflow,Wind Plant,0.8263213730011267
29,Financing cash outflow,Electrolysis system,0.9188483448168567
30,Financing cash outflow,Interest expense,1.2866637639263234
31,Financing cash outflow,Dividends paid,2.148250154634467
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.01259645099569249
36,Operating Revenue,Cash on hand recovery,0.02446407973096157
37,Financing cash inflow,One time capital incentive,0.04939095466040623
38,Financing cash inflow,Inflow of debt,0.6076268949147602
39,Financing cash inflow,Inflow of equity,1.6420618525084394
40,Financing cash inflow,Monetized tax losses,1.990664768155276
41,Operating Revenue,Hydrogen sales,2.5892288326006274
