,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Capital gains taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Operating Expenses,Rent of land,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011370738844397688
16,Financing cash outflow,Desalination,0.0003583490655106063
17,Operating Expenses,Desalination Fixed O&M Cost,0.0015821436974556256
18,Financing cash outflow,Compression,0.008514409246684989
19,Operating Expenses,Water,0.010791556728232192
20,Operating Expenses,Cash on hand reserve,0.015037916924909352
21,Operating Expenses,Property insurance,0.02903927231113384
22,Operating Expenses,Var O&M,0.07110411790168084
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383418335197526
24,Financing cash outflow,Income taxes payable,0.15633914427253512
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.23308097069616548
26,Financing cash outflow,Wind Plant,0.3385921684364749
27,Financing cash outflow,Repayment of debt,0.43945767972314814
28,Financing cash outflow,Electrolysis system,0.5165491411887385
29,Financing cash outflow,Interest expense,0.6788499105327177
30,Financing cash outflow,Dividends paid,0.927499314747217
31,Operating Expenses,Grid Electricity Cost,3.336182280107329
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370738844397688
37,Operating Revenue,Cash on hand recovery,0.015037916924909352
38,Financing cash inflow,Monetized tax losses,0.09565672549421342
39,Financing cash inflow,Inflow of debt,0.4394576797231481
40,Financing cash inflow,Inflow of equity,0.7634320343465695
41,Operating Revenue,Hydrogen sales,5.533228202443068
