,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Income taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Grid Electricity Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Financing cash outflow,Capital gains taxes payable,0.0
7,Operating Expenses,Labor,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00010459569322975737
15,Financing cash outflow,Desalination,0.0008371963646574508
16,Operating Expenses,Desalination Fixed O&M Cost,0.003696298049468036
17,Operating Expenses,Water,0.007678100263852244
18,Financing cash outflow,Compression,0.018927636646856892
19,Operating Expenses,Cash on hand reserve,0.022246379301512277
20,Operating Expenses,Solar Plant Fixed O&M Cost,0.022592669737627587
21,Financing cash outflow,Solar Plant,0.04559953842044503
22,Operating Expenses,Property insurance,0.04913788384203133
23,Operating Expenses,Var O&M,0.07363966614547454
24,Financing cash outflow,Hydrogen Storage,0.09878190932081246
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18636442236905248
26,Financing cash outflow,Repayment of debt,0.5079094534945316
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.518257769645387
28,Financing cash outflow,Electrolysis system,0.55159382297771
29,Financing cash outflow,Wind Plant,0.7494239581634823
30,Financing cash outflow,Interest expense,1.05338180847494
31,Financing cash outflow,Dividends paid,1.6663105220005976
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.0076035809841510935
36,Operating Revenue,Cash on hand recovery,0.02224637930151228
37,Financing cash inflow,One time capital incentive,0.04939095466040623
38,Financing cash inflow,Inflow of debt,0.5079094534945316
39,Operating Revenue,Hydrogen sales,1.3082817953680628
40,Financing cash inflow,Inflow of equity,1.5658976543233827
41,Financing cash inflow,Monetized tax losses,2.115153812779622
