,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010693835202092134
14,Financing cash outflow,Desalination,0.000674032866963999
15,Operating Expenses,Desalination Fixed O&M Cost,0.0029759163759099407
16,Operating Expenses,Water,0.01261213720316624
17,Operating Expenses,Cash on hand reserve,0.012862779193492695
18,Financing cash outflow,Compression,0.01601508759865318
19,Financing cash outflow,Hydrogen Storage,0.031540655986958155
20,Operating Expenses,Var O&M,0.06760586149668882
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.07218338761412191
22,Operating Expenses,Property insurance,0.0750678908886153
23,Financing cash outflow,Solar Plant,0.13115454183605899
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.15768701635596977
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.5215581221236233
26,Financing cash outflow,Income taxes payable,0.5635842339973656
27,Financing cash outflow,Wind Plant,0.6879146135677927
28,Financing cash outflow,Repayment of debt,0.9121203741910916
29,Financing cash outflow,Electrolysis system,1.3736380120520926
30,Financing cash outflow,Interest expense,1.45052357076487
31,Financing cash outflow,Dividends paid,2.329818016306529
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Cash on hand recovery,0.012862779193492695
37,Operating Revenue,Sale of non-depreciable assets,0.018781714642701144
38,Financing cash inflow,Monetized tax losses,0.2779233140071462
39,Financing cash inflow,Inflow of debt,0.9121203741910915
40,Financing cash inflow,Inflow of equity,1.5574755289255648
41,Operating Revenue,Hydrogen sales,5.640479477811988
