,Type,Name,NPV
0,Operating Expenses,Labor,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Operating Expenses,Administrative expenses,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Installation cost,0.0
7,Operating Expenses,Sales tax,0.0
8,Operating Expenses,Credit card fees,0.0
9,Operating Expenses,Road tax,0.0
10,Financing cash outflow,Capital gains taxes payable,0.0
11,Operating Expenses,Non-depreciable assets,0.00010662268219622454
12,Financing cash outflow,Desalination,0.0007062791382179171
13,Operating Expenses,Desalination Fixed O&M Cost,0.0031182865946187185
14,Operating Expenses,Cash on hand reserve,0.008953744474983334
15,Operating Expenses,Water,0.01261213720316623
16,Financing cash outflow,Compression,0.015967812885706586
17,Financing cash outflow,Hydrogen Storage,0.03110079796162057
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.03374607891510507
19,Financing cash outflow,Battery Storage,0.044994771886806756
20,Operating Expenses,Property insurance,0.0491077013574055
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.06557294955067809
22,Operating Expenses,Var O&M,0.0734453470753818
23,Financing cash outflow,Solar Plant,0.12641185201184382
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.15722154225926485
25,Financing cash outflow,Repayment of debt,0.4728436525809346
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.49427504982395526
27,Financing cash outflow,Electrolysis system,0.6050050552827693
28,Financing cash outflow,Wind Plant,0.6380784090127061
29,Financing cash outflow,Income taxes payable,0.7471791180209572
30,Financing cash outflow,Interest expense,1.092268837461959
31,Financing cash outflow,Dividends paid,2.9984944139192313
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.000106622682197038
37,Operating Revenue,Cash on hand recovery,0.008953744474983335
38,Financing cash inflow,Monetized tax losses,0.12640676780182514
39,Financing cash inflow,Inflow of debt,0.4728436525809346
40,Financing cash inflow,Inflow of equity,1.2075637718340422
41,Operating Revenue,Hydrogen sales,5.8553359007255255
