,0
Useful Life,30
Wind Cost ($/kW),1043.1
Solar Cost ($/kW),702.5746268656716
Electrolyzer Installed Cost ($/kW),280.54656
Wind capacity (MW),522
Solar capacity (MW),500
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60
ATB Year,2030
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.5387745056599896
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0
Ren PTC first year ($/kg),0
Wind PTC,0
Discount Rate,0.07
NPV Wind Expenses,-932332215.3532898
NPV Solar Expenses,-516930734.5398408
NPV HVDC Expenses,0.0
LCOE ($/MWh),36.003570306029204
Grid Price ($/MWh),58.68568801369863
Electricity CF (-),1.0
Wind plant CF (-),0.3678451799958335
Wind annual energy (MWh),1691719.9828008383
Solar plant CF (-),0.24515531234777538
Solar annual energy (MWh),1073780.268083256
LCOH ($/kg),3.0660230566276216
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),"[0.65349275 0.64410992 0.63499272 0.62613001 0.6175113  0.60912664
 0.60096662 0.59302235 0.59089657 0.64410992 0.63499272 0.62613001
 0.6175113  0.60912664 0.60096662 0.59302235 0.59089657 0.64410992
 0.63499272 0.62613001 0.6175113  0.60912664 0.60096662 0.59302235
 0.59089657 0.64410992 0.63499272 0.62613001 0.6175113  0.60912664]"
Average stack life (hrs),78052
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),1275044488.8414953
Hydrogen transmission total CAPEX ($),32973833.977459792
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),0.17651806936950704
LCOH: Desalination CAPEX ($/kg),0.0007485344095989372
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.07527468904833468
LCOH: Wind Plant CAPEX ($/kg),0.7126039489076337
LCOH: Wind Plant FOM ($/kg),0.1984611808016083
LCOH: Solar Plant CAPEX ($/kg),0.3175685214819307
LCOH: Solar Plant FOM ($/kg),0.08756998179318051
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.016677058726180985
LCOH: Water consumption ($/kg),0.01261213720316623
LCOH: Grid electricity ($/kg),1.2605942029834052
