,0
Useful Life,30.0
Wind Cost ($/kW),1265.0
Solar Cost ($/kW),1089.9
Electrolyzer Installed Cost ($/kW),738.4227200000001
Wind capacity (MW),1416.0
Solar capacity (MW),100.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1160.0
Total Electricity Production (kWh),4511398791.106772
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2193128906.5464306
NPV Solar Expenses,-118195640.88759457
NPV HVDC Expenses,0.0
LCOE ($/MWh),44.865851234797994
Grid Price ($/MWh),0.0
Electricity CF (-),0.4439653982745664
Wind plant CF (-),0.3532347488665071
Wind annual energy (MWh),4375391.669699831
Solar plant CF (-),0.16607113059679293
Solar annual energy (MWh),145478.31040279058
LCOH ($/kg),6.269219264406965
Electrolyzer CF (-),0.42816635060944747
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),37346.0
Number of stack clusters (-),29.0
Hydrogen storage duration (hr),204.91090735764047
Hydrogen storage capacity (kg),5462338.974481235
Hydrogen storage CAPEX ($/kg),43.2240020127474
Hydrogen annual production (kg),79981548.79529269
Hydrogen production total CAPEX ($),3040145535.751374
Hydrogen transmission total CAPEX ($),23279110.459710903
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.3316689874996971
LCOH: Electrolyzer CAPEX ($/kg),2.070064489600788
LCOH: Desalination CAPEX ($/kg),0.0023589596605922735
LCOH: Electrolyzer FOM ($/kg),0.18636442236905248
LCOH:Desalination FOM ($/kg),0.003696298049468036
LCOH: Electrolyzer VOM ($/kg),0.07363966614547454
LCOH: Wind Plant CAPEX ($/kg),2.1116442457468008
LCOH: Wind Plant FOM ($/kg),0.518257769645387
LCOH: Solar Plant CAPEX ($/kg),0.12848535447173123
LCOH: Solar Plant FOM ($/kg),0.022592669737627587
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.6939344858142155
LCOH: Water consumption ($/kg),0.007678100263852244
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.11883381540228061
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),21.257654328824593
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),21.257654328824565
Steel Price with Integration ($/tonne),1076.018652406374
Steel price: EAF and Casting CAPEX ($/tonne),6.1918436335910485
Steel price: Shaft Furnace CAPEX ($/tonne),3.492643247616326
Steel price: Oxygen Supply CAPEX ($/tonne),0.42313767303929395
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2406899898611148
Steel price: Cooling Tower CAPEX ($/tonne),0.5210248684196755
Steel price: Piping CAPEX ($/tonne),1.538377202779051
Steel price: Electrical & Instrumentation ($/tonne),1.0255848027206835
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3190617110567566
Steel price: Miscellaneous CAPEX ($/tonne),1.0255852115405844
Steel price: Annual Operating Labor Cost ($/tonne),75.28724491421873
Steel price: Maintenance Labor Cost ($/tonne),4.34381082538769
Steel price: Administrative & Support Labor Cost ($/tonne),19.90776393490161
Steel price: Installation Cost ($/tonne),6.679246419900317
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.4764879063
Steel price: Lime ($/tonne),2.212452
Steel price: Carbon ($/tonne),12.748985999999999
Steel price: Iron Ore ($/tonne),337.8291345
Steel price: Hydrogen ($/tonne),413.51770268028343
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),56.6395494889444
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),26.237257527859118
Steel price: Equipment Financing ($/tonne),89.78109314523726
Steel price: Remaining Financial ($/tonne),10.06676900437472
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1089.5021938503899
(-) Steel price: BOS savings ($/tonne),5.972329180470482
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),1.236819179854627
Ammonia price: Electricity ($/kg),0.055058724128091846
Ammonia price: Cooling water ($/kg),0.00014327915783999995
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.008654869124086084
Ammonia price: Equipment Financing ($/kg),0.03173550064733245
Ammonia price: Remaining Financial ($/kg),0.004544589367441985
Ammonia price: Total ($/kg),1.3769145002682712
