,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,9.981576428613074e-05
14,Financing cash outflow,Desalination,0.00099613701529301
15,Operating Expenses,Desalination Fixed O&M Cost,0.004398035469417033
16,Operating Expenses,Water,0.010791556728232192
17,Operating Expenses,Cash on hand reserve,0.016938511336658253
18,Financing cash outflow,Compression,0.023668314027527323
19,Operating Expenses,Var O&M,0.06597055330604051
20,Financing cash outflow,Hydrogen Storage,0.08124778356188093
21,Operating Expenses,Property insurance,0.09735035024233542
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.12277339007194082
23,Financing cash outflow,Solar Plant,0.21176912550945498
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.23304186119411519
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.523074722811307
26,Financing cash outflow,Income taxes payable,0.7682132995801089
27,Financing cash outflow,Wind Plant,0.993321768713173
28,Financing cash outflow,Repayment of debt,1.211347718185755
29,Financing cash outflow,Electrolysis system,1.594967599114941
30,Financing cash outflow,Interest expense,1.9547518128363528
31,Financing cash outflow,Dividends paid,3.1255663551904567
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Cash on hand recovery,0.016938511336658253
37,Operating Revenue,Sale of non-depreciable assets,0.021783594782499145
38,Financing cash inflow,Monetized tax losses,0.3798391445800652
39,Financing cash inflow,Inflow of debt,1.211347718185755
40,Financing cash inflow,Inflow of equity,2.0755177138940404
41,Operating Revenue,Hydrogen sales,7.334862027880257
