,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Capital gains taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Operating Expenses,Rent of land,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011370520891750185
16,Financing cash outflow,Desalination,0.0003765972460594557
17,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
18,Operating Expenses,Property insurance,0.004218404228494024
19,Financing cash outflow,Compression,0.008514246043742539
20,Operating Expenses,Water,0.011873350923482847
21,Operating Expenses,Cash on hand reserve,0.020510680591980582
22,Financing cash outflow,Wind Plant,0.0368796086716146
23,Financing cash outflow,Repayment of debt,0.04173230415233494
24,Financing cash outflow,Income taxes payable,0.06002745341395471
25,Operating Expenses,Var O&M,0.0752748738237094
26,Financing cash outflow,Electrolysis system,0.0784374401558739
27,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
28,Financing cash outflow,Interest expense,0.09129298244937055
29,Operating Expenses,Wind Plant Fixed O&M Cost,0.2007688689504642
30,Financing cash outflow,Dividends paid,0.23933479184982567
31,Operating Expenses,Grid Electricity Cost,4.9425998520562375
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370520891747475
37,Financing cash inflow,Monetized tax losses,0.015564247389755592
38,Operating Revenue,Cash on hand recovery,0.020510680591980586
39,Financing cash inflow,Inflow of debt,0.04173230415233494
40,Financing cash inflow,Inflow of equity,0.1110582697302831
41,Operating Revenue,Hydrogen sales,5.708471240196789
