,Type,Name,NPV
0,Operating Expenses,Labor,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Operating Expenses,Administrative expenses,0.0
6,Financing cash outflow,Hydrogen Storage,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Operating Expenses,Credit card fees,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Non-depreciable assets,0.00011370738844397688
14,Financing cash outflow,Desalination,0.0003583490655106063
15,Operating Expenses,Desalination Fixed O&M Cost,0.0015821436974556256
16,Financing cash outflow,Compression,0.008514409246684989
17,Operating Expenses,Cash on hand reserve,0.00982495010031958
18,Operating Expenses,Water,0.01261213720316623
19,Operating Expenses,Property insurance,0.013540655572701212
20,Operating Expenses,Var O&M,0.07110411790168084
21,Financing cash outflow,Electrolysis system,0.07843894366199362
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383418335197526
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.1057478712528985
24,Financing cash outflow,Wind Plant,0.13565295338844702
25,Financing cash outflow,Income taxes payable,0.14054523572893401
26,Financing cash outflow,Solar Plant,0.179100507538108
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.20077271733234053
28,Financing cash outflow,Repayment of debt,0.21908123310187408
29,Financing cash outflow,Interest expense,0.3535313858564942
30,Financing cash outflow,Dividends paid,0.5689226980440254
31,Operating Expenses,Grid Electricity Cost,2.403725277369522
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370738844408532
37,Operating Revenue,Cash on hand recovery,0.00982495010031958
38,Financing cash inflow,Monetized tax losses,0.06894758426912977
39,Financing cash inflow,Inflow of debt,0.21908123310187408
40,Financing cash inflow,Inflow of equity,0.37534386261566566
41,Operating Revenue,Hydrogen sales,3.913692139327143
