,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Capital gains taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Operating Expenses,Rent of land,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011370520891750185
16,Financing cash outflow,Desalination,0.0003765972460594557
17,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
18,Operating Expenses,Property insurance,0.007188109371203859
19,Operating Expenses,Water,0.007678100263852243
20,Financing cash outflow,Compression,0.008514246043742539
21,Operating Expenses,Cash on hand reserve,0.015964209942579136
22,Financing cash outflow,Wind Plant,0.02992009560156893
23,Financing cash outflow,Repayment of debt,0.06610490247994015
24,Operating Expenses,Var O&M,0.0752748738237094
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
26,Financing cash outflow,Income taxes payable,0.11306312474508244
27,Financing cash outflow,Interest expense,0.13989852032905598
28,Operating Expenses,Wind Plant Fixed O&M Cost,0.20769193339703196
29,Financing cash outflow,Electrolysis system,0.23375162685733147
30,Financing cash outflow,Dividends paid,0.4214691583352851
31,Operating Expenses,Grid Electricity Cost,3.7075017576899407
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370520891761029
37,Operating Revenue,Cash on hand recovery,0.015964209942579133
38,Financing cash inflow,Monetized tax losses,0.020769904799484984
39,Financing cash inflow,Inflow of debt,0.06610490247994015
40,Financing cash inflow,Inflow of equity,0.15520286023271823
41,Operating Revenue,Hydrogen sales,4.802010474972522
