,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.000101010644046949
14,Financing cash outflow,Desalination,0.0010594153717400417
15,Operating Expenses,Desalination Fixed O&M Cost,0.004677415165009006
16,Operating Expenses,Water,0.010791556728232189
17,Operating Expenses,Cash on hand reserve,0.012674637509027925
18,Financing cash outflow,Compression,0.023951643916412548
19,Financing cash outflow,Hydrogen Storage,0.07017506002839384
20,Operating Expenses,Var O&M,0.07144993155746458
21,Operating Expenses,Property insurance,0.07425508431674815
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.1863646382666209
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.2358315708692928
24,Financing cash outflow,Solar Plant,0.3214562736150105
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.4727833417002148
26,Financing cash outflow,Repayment of debt,0.6712446482309753
27,Financing cash outflow,Wind Plant,0.8978181600359872
28,Financing cash outflow,Electrolysis system,0.9006382732657041
29,Financing cash outflow,Income taxes payable,1.0735498675706696
30,Financing cash outflow,Interest expense,1.5505751374135528
31,Financing cash outflow,Dividends paid,4.261952025849103
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.01234529780302785
37,Operating Revenue,Cash on hand recovery,0.012674637509027923
38,Financing cash inflow,Monetized tax losses,0.1826966843110896
39,Financing cash inflow,Inflow of debt,0.6712446482309753
40,Financing cash inflow,Inflow of equity,1.6918371311771394
41,Operating Revenue,Hydrogen sales,8.270551293022947
