,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010225257508127092
14,Financing cash outflow,Desalination,0.0007787688950323564
15,Operating Expenses,Desalination Fixed O&M Cost,0.0034383354601309995
16,Operating Expenses,Water,0.007678100263852245
17,Operating Expenses,Cash on hand reserve,0.01213900563107275
18,Financing cash outflow,Compression,0.018503625986706785
19,Operating Expenses,Property insurance,0.06183922901562202
20,Operating Expenses,Var O&M,0.06719422471371134
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.1426423422383729
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18218954817680527
23,Financing cash outflow,Electrolysis system,0.24100159447265296
24,Financing cash outflow,Solar Plant,0.25430215422712077
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.3324589476194379
26,Financing cash outflow,Wind Plant,0.5430180056627788
27,Financing cash outflow,Income taxes payable,0.6174026128711539
28,Financing cash outflow,Hydrogen Storage,0.7850547300880792
29,Financing cash outflow,Repayment of debt,0.9969173871234491
30,Financing cash outflow,Interest expense,1.6087255876011102
31,Financing cash outflow,Dividends paid,2.535601916183337
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.003378698642375071
37,Operating Revenue,Cash on hand recovery,0.012139005631072747
38,Financing cash inflow,Monetized tax losses,0.3233426755770509
39,Financing cash inflow,Inflow of debt,0.9969173871234491
40,Financing cash inflow,Inflow of equity,1.740550974610392
41,Operating Revenue,Hydrogen sales,5.334659627221168
