,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011293778344849314
16,Financing cash outflow,Desalination,0.0008601488300287937
17,Operating Expenses,Desalination Fixed O&M Cost,0.0037976352704165404
18,Operating Expenses,Water,0.0076781002638522415
19,Financing cash outflow,Compression,0.020437221292839317
20,Operating Expenses,Cash on hand reserve,0.023367746835486473
21,Operating Expenses,Var O&M,0.06748508865922823
22,Operating Expenses,Property insurance,0.1236791466650754
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20122802503718712
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.47218756723283467
25,Financing cash outflow,Wind Plant,0.8473783388118782
26,Financing cash outflow,Electrolysis system,0.9093480784693787
27,Financing cash outflow,Income taxes payable,1.1531915568033226
28,Financing cash outflow,Repayment of debt,1.833919884342048
29,Financing cash outflow,Hydrogen Storage,1.907102060909721
30,Financing cash outflow,Interest expense,2.9593965173627623
31,Financing cash outflow,Dividends paid,4.7165887001806555
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.005824417629491825
37,Operating Revenue,Cash on hand recovery,0.023367746835486473
38,Financing cash inflow,Monetized tax losses,0.589913736772865
39,Financing cash inflow,Inflow of debt,1.833919884342048
40,Financing cash inflow,Inflow of equity,3.193652371950163
41,Operating Revenue,Hydrogen sales,9.60108059722011
